name,rating,price
Quennie S. Almazan,5,3000
Nica Aganon,5,3400
Bubu Bake,5,4000
Jec Ofrecio,4,2800
Jellys Bakeshop,4,4500
Suwelaz Tsokolate Artekeyko,3,3500
Sky Invitations,5,4500
Brenda Lee Dc Guevarra,5,4000
Paperie Tale,4,3800
Valeen Layout & Designs,4,4000
Emannuel Gonzales,3,3500
Grazes by Mariah Dawn,5,9500
Grazing Bar PH,5,12000
MigueLaina Creative Catering & Grazing,4,10000
Harold Holario,3,10500
Allen Leon Hair and Makeup Artistry,5,8000
Espiemarie Tamio,5,6000
Make up Design by Paula Bugayong Suyat,5,7000
Nald Tamundong,5,6500
Shahani Cura Makeup Artistry,5,8500
Makeup by Onin Montalvo Roumeliotes,5,9000
Jerome Jay Ave Mateo Hair & Make Up Artistry,4,8000
Bonita Fowler Collins,4,7500
Patricia Pastor,4,5000
Niel Transfiguracion Celebrados,4,6000
Poi Glam Touch,4,6000
Maria Beyonce Celario Cruz,4,9000
Mckey Quizon,4,7000
James Karl Basa Lababit MakeUp Artistry,4,8000
Make up by Bea Esguerra HMUA,3,8500
Elmery Paul Unating,3,6500
Musicking Dela Cruz,3,7000
Chatterbox Video and Photobooth,5,3000
Daveonwork Design & Prints ddp,5,2500
Paul Cabrera,5,2700
Hapipax Photobooth,4,3200
Ken John Salunson Basilio,4,2800
MemoraBooth,4,3200
Snaps Mobile Studio,4,3500
Jude Raniel,3,4000
Wowie Catacutan Tercenio,3,3700
Neil Mendoza Photography,5,9000
Josh Vergara Photography,5,8000
Nevelé Media,5,7000
Franc & Danielle Photography,5,9000
Whay Lingat Studio,4,9000
Ammiel Viray Photography,4,7000
Jievin Studio,4,8000
MJ Santiago,4,8000
Prestige Photo Creations,4,9000
Sweet Portraits Kids,4,9000
Shianne Gomez Photography,4,8500
Lifetime Studios,4,9000
Oak St Studios,4,8000

