name,rating,price
Rhobz Clown Magician, 5, 2500
Nicakes Cakes and Pastries, 5, 10000
Grazes by Mariah Dawn, 5, 9500
Grazing Bar PH, 5, 12000
MigueLaina's Creative Catering & Grazing, 4, 10000
Britney Myisha Art, 5, 2000
Francis the Magician, 5, 5000
Harvey Greene Mobile Bar, 5, 10000
Party Mixed Mobile Bar, 4, 9000
Chatterbox Video and Photobooth, 5, 3000
Daveonwork Design & Prints - ddp, 5, 2500
DP Photobooth, 5, 2700
Hapipax Photobooth, 4, 3200
KN PhotoBooth, 4, 2800
MemoraBooth, 4, 3200
Snaps Mobile Studio, 4, 3500
Studio29 ph, 3, 4000
WOW Photobooth, 3, 3700
Icing's Delight by Quennie, 5, 3000
Nicakes Cakes and Pastries, 5, 3400
Bubu Bake, 5, 4000
SugarBaby by Jec Ofrecio, 4, 2800
Jelly's Bakeshop, 4, 4500
Artekeyko Cakes and Pastries, 3, 3500
Our Lady of Sorrows, 5, 5000
San Sebastian Cathedral, 5, 5000
Sky Invitations, 5, 4500
R-BYZ Print 888, 5, 4000
Auvie Cappal, 4, 3800
Valeen Layout & Designs, 4, 4000
Emannuel Gonzales, 3, 3500
Rommel Domingo, 5, 5000
Alma Fallorin Bagorio, 5, 10000
EVENTS & BEYOND Happenings By DJ Alfie, 5, 10000
Jeffceegee Hosting & Events, 5, 7000
Roan Talks, 4, 6000
HH Hosting and Speaking Engagements, 4, 8000
Aldrine Caranto, 4, 5000
Hosting by Juan, 4, 6500
HOST Sebastian Balatbat, 4, 7000
Maria Sheila Garcia - Medina, 3, 4000
Andrei Javs, 3, 5500
Dexter Ferdinand Soriano Nicolau, 5, 6000
Amiel Gacutan, 5, 4500
Jen Aguila, 5, 7500
Ray Maliwat, 5, 8500
Eventify Events Management Services, 5, 15000
B&B Events, 5, 18000
Duo Events Management- DEM, 4, 17000
Exquisite Events, 4, 12000
Jake Events Management Services, 4, 10000
Blooms Petals and Ribbons, 4, 20000
RHYNE Events Management Services, 4, 15000
Beng Latosquin Lingat, 5, 13000
Ring and Belle Events, 5, 16000
Events101, 5, 12000
Belo and Bonito Flowers and Event Styling by Louie Ledesma, 5, 15000
Bluemoon Fête, 4, 17000
Chrisel Luat Lopez, 4, 10000
BPRb Events Management, 4, 20000
Excel Event Styling, 4, 18000
Cherry Jane (event events styling), 5, 12000
FT Event Styling, 5, 15000
Jennifer Bandasan-Pacubas & Louie Pacubas, 5, 13000
Moon Star Event Styling, 5, 10000
L.A. Event Styling, 5, 19000
MIGS Styling Production, 5, 14000
Mr. Popper, 5, 11000
STAN Creative Designs, 5, 17000
AJ Lights and Sounds/Ledwall and Projector Rental, 4, 20000
Kyel Aguilar, 4, 20000
Gdynamixx Audio and Lights Rental, 3, 18000
GKAM lights and sounds, 3, 15000
PreciousAdona HMUA, 5, 10000
Ryann Lara, 5, 10000
Ian Ular, 5, 10000
Allen Leon Hair and Makeup Artistry, 5, 10000
Espiemarie Tamio, 5, 10000
Make-up Design by Paula Suyat, 5, 8000
Nald Tamundong, 4, 7500
Shahani Cura Makeup Artistry, 4, 9000
Justified by Justin Patrick Salvador Hair and Make up Artistry, 5, 8000
Makeup by Onin Montalvo Roumeliotes, 5, 6500
Jerome Mateo Hair & Make Up Artistry, 5, 6000
Bonita Fowler Collins, 4, 6000
Patricia Pastor, 4, 5000
Niel Transfiguracion Celebrados, 5, 13000
Poi Glam Touch, 5, 10000
Maria Beyonce Celario Cruz, 5, 5000
Mckey Quizon, 4, 15000
JamesLababit MakeUp Artistry, 4, 15000
Make-up by Bea Esguerra HMUA, 5, 15000
Elmery Paul Unating, 5, 12000
Musicking Dela Cruz, 5, 15000
Darius Ines Photography and Film, 5, 10000
IR Photography & Videography, 5, 13000
JRN Films, 4, 10000
Shutterscape Studio, 5, 10000
Visuals by Alaz, 5, 10000
Lifetime Studios, 5, 10000
BNG Photography & Films, 5, 8000
Oninz Photography, 5, 7500
Wowie Catacutan Tercenio, 5, 9000
Tom Sotero Photography, 5, 8000
Pao Beltran Photography, 5, 6500
Cesar Diaz Jr PHOTOGRAPHIE, 5, 6000
Jonathan Ocampo Photography, 5, 6000
I am Kevin Photography, 5, 5000
Shots by Al, 5, 9000
Jimuel Reyes Photography, 5, 7000
Marvin Quitalig Photography, 5, 4000
Josh Vergara Photography, 4, 5000
Neil Mendoza Photography, 4, 5000
PiQato Studio, 4, 13000
Van Navarro Photography, 4, 10000
JEM Photography by Jem Pangilinan, 4, 5000
Ammiel Viray Photography, 5, 12000
Nostalgic Photography, 5, 12000
MJ Santiago, 5, 13000
Prestige Photo Creations, 5, 12000
Sweet Portraits Kids, 5, 10000
Shianne Gomez Photography, 5, 10000
Oak St. Studios, 5, 9000
Strings of Serenity, 5, 10000
Gherold Benitez, 5, 12000
Marvin Soberano Guieb, 5, 8000
Evo Bancifra, 4, 8000
Daveonwork Design & Prints - ddp, 4, 11000
Crafty Engineer Pey, 4, 12000
Greyssentials, 4, 9000
Dave Cochingco, 5, 8500
Jam Cantillon, 5, 8500
Unlimmedia Production, 4, 8000
